epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,46.8089,0.89766,0.70086,1.17177,0.99616,0.97101,0.99342,0.76588,0.90089,0.48916,1.14607,0.0011882,0.0011882,0.0011882
43,47.9086,0.92874,0.75055,1.22411,0.98541,0.97898,0.99393,0.72606,0.92198,0.48124,1.20236,0.0011684,0.0011684,0.0011684
44,49.0008,0.89555,0.71574,1.18364,0.98523,0.96681,0.98271,0.71161,0.92107,0.51588,1.18822,0.0011486,0.0011486,0.0011486
45,50.095,0.93143,0.73327,1.22563,0.99822,0.98551,0.99458,0.74201,0.87131,0.47569,1.13885,0.0011288,0.0011288,0.0011288
46,51.1859,0.86089,0.65551,1.16639,0.98546,0.98261,0.99444,0.73141,0.97428,0.48188,1.19482,0.001109,0.001109,0.001109
47,52.2667,0.87216,0.70135,1.17712,0.99747,0.97101,0.99329,0.75289,0.88616,0.46696,1.15195,0.0010892,0.0010892,0.0010892
48,53.3455,0.89942,0.68545,1.20474,0.97,0.93728,0.98498,0.74314,0.87872,0.49065,1.14681,0.0010694,0.0010694,0.0010694
49,54.4278,0.89311,0.69109,1.20048,0.97661,0.95652,0.98793,0.73305,0.95104,0.50497,1.18382,0.0010496,0.0010496,0.0010496
50,55.5138,0.86297,0.65964,1.19423,0.97111,0.97429,0.99078,0.75829,0.87684,0.51665,1.14097,0.0010298,0.0010298,0.0010298
51,56.6015,0.858,0.63844,1.15833,1,0.96577,0.99391,0.72489,0.93028,0.48147,1.19555,0.00101,0.00101,0.00101
52,57.7105,0.84425,0.63634,1.163,0.99772,0.98551,0.99458,0.73454,0.93975,0.45949,1.17338,0.0009902,0.0009902,0.0009902
53,58.798,0.87278,0.67025,1.19191,0.99027,1,0.995,0.74591,0.87479,0.4452,1.12948,0.0009704,0.0009704,0.0009704
54,59.9067,0.81709,0.62609,1.13245,0.9795,1,0.99471,0.74896,0.8682,0.44835,1.1265,0.0009506,0.0009506,0.0009506
55,61.0022,0.80242,0.61209,1.1415,1,0.98495,0.99486,0.75581,0.86363,0.45458,1.13877,0.0009308,0.0009308,0.0009308
56,62.0835,0.83408,0.66472,1.16289,1,0.99809,0.995,0.74372,0.89456,0.44877,1.16386,0.000911,0.000911,0.000911
57,63.1735,0.84415,0.60783,1.16878,1,0.99799,0.995,0.75248,0.89245,0.43051,1.15852,0.0008912,0.0008912,0.0008912
58,64.2573,0.80469,0.6043,1.13347,0.98568,0.99742,0.99486,0.74058,0.91173,0.43421,1.17115,0.0008714,0.0008714,0.0008714
59,65.3396,0.79651,0.58465,1.12053,0.9857,0.99915,0.99486,0.72976,0.89588,0.42758,1.16884,0.0008516,0.0008516,0.0008516
60,66.422,0.80238,0.6235,1.14245,0.99819,0.98551,0.99331,0.72738,0.89681,0.42925,1.16602,0.0008318,0.0008318,0.0008318
61,67.5076,0.79607,0.60504,1.13225,0.9842,0.97101,0.99374,0.71035,0.92686,0.45384,1.18,0.000812,0.000812,0.000812
62,68.5989,0.75428,0.57088,1.10838,0.9857,0.99903,0.99443,0.72304,0.88924,0.44123,1.14468,0.0007922,0.0007922,0.0007922
63,69.6904,0.8117,0.60756,1.14552,1,0.99823,0.995,0.75498,0.81784,0.41926,1.09858,0.0007724,0.0007724,0.0007724
64,70.778,0.76645,0.55369,1.09591,0.99959,1,0.995,0.75055,0.85023,0.40598,1.1121,0.0007526,0.0007526,0.0007526
65,71.8772,0.75975,0.56895,1.12557,1,0.99862,0.995,0.73494,0.90945,0.41356,1.17371,0.0007328,0.0007328,0.0007328
66,72.9661,0.79584,0.55292,1.12185,1,0.99868,0.995,0.7267,0.92106,0.41046,1.19463,0.000713,0.000713,0.000713
67,74.0606,0.74308,0.56654,1.12101,0.99823,0.98551,0.99486,0.75008,0.87426,0.39686,1.16075,0.0006932,0.0006932,0.0006932
68,75.1594,0.76347,0.54875,1.09772,0.9857,0.99891,0.99486,0.75232,0.86216,0.41465,1.15024,0.0006734,0.0006734,0.0006734
69,76.2412,0.78367,0.55535,1.13349,0.99332,0.98551,0.99458,0.75809,0.86601,0.42769,1.14796,0.0006536,0.0006536,0.0006536
70,77.3366,0.76955,0.5589,1.12672,0.98568,0.99732,0.99486,0.76359,0.8616,0.42947,1.13947,0.0006338,0.0006338,0.0006338
71,78.4281,0.72667,0.52491,1.06851,0.99932,0.98551,0.99486,0.76956,0.84531,0.42153,1.12021,0.000614,0.000614,0.000614
72,79.5251,0.74049,0.56753,1.10602,0.99973,0.98551,0.99363,0.77242,0.84331,0.41406,1.12052,0.0005942,0.0005942,0.0005942
73,80.6239,0.74863,0.53479,1.11826,0.99848,0.98551,0.99385,0.76342,0.88262,0.38909,1.16014,0.0005744,0.0005744,0.0005744
74,81.711,0.73029,0.53955,1.11744,0.99858,0.98551,0.99472,0.7519,0.90305,0.3807,1.18219,0.0005546,0.0005546,0.0005546
75,82.8091,0.71422,0.50093,1.08624,1,0.99704,0.995,0.74717,0.89979,0.38473,1.18892,0.0005348,0.0005348,0.0005348
76,83.9012,0.74569,0.52564,1.09977,0.99867,1,0.995,0.74121,0.89928,0.40713,1.18426,0.000515,0.000515,0.000515
77,85.004,0.71256,0.50689,1.11226,0.99896,1,0.995,0.74609,0.89781,0.40585,1.18364,0.0004952,0.0004952,0.0004952
78,86.091,0.73278,0.50539,1.10371,1,0.99838,0.995,0.75399,0.84398,0.38785,1.13471,0.0004754,0.0004754,0.0004754
79,87.1948,0.73248,0.5388,1.08846,1,0.99689,0.995,0.76915,0.80037,0.38241,1.10878,0.0004556,0.0004556,0.0004556
80,88.2876,0.7227,0.51989,1.08489,1,0.98355,0.99486,0.77036,0.79553,0.37823,1.11149,0.0004358,0.0004358,0.0004358
81,89.3814,0.7561,0.52062,1.12688,0.99911,0.98551,0.99486,0.75942,0.8316,0.38739,1.12307,0.000416,0.000416,0.000416
82,90.481,0.69711,0.52286,1.07346,0.99858,0.98551,0.99472,0.76465,0.85467,0.38052,1.14536,0.0003962,0.0003962,0.0003962
83,91.5804,0.72446,0.51094,1.08423,0.99869,0.98551,0.99472,0.76996,0.85366,0.3778,1.15188,0.0003764,0.0003764,0.0003764
84,92.6721,0.67373,0.47861,1.04759,0.9989,0.98551,0.99445,0.7579,0.85319,0.3775,1.14168,0.0003566,0.0003566,0.0003566
85,93.754,0.69574,0.51595,1.10234,1,0.99907,0.995,0.76227,0.85406,0.37136,1.15259,0.0003368,0.0003368,0.0003368
86,94.8472,0.65258,0.48433,1.04012,1,0.99908,0.995,0.7549,0.87508,0.37764,1.17921,0.000317,0.000317,0.000317
87,95.9365,0.64952,0.4814,1.05056,0.99972,1,0.995,0.74084,0.88539,0.37984,1.18612,0.0002972,0.0002972,0.0002972
