epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,42.0214,0.70045,0.55746,1.02241,0.92597,0.9322,0.96646,0.71705,0.9762,0.62511,1.11767,0.0011882,0.0011882,0.0011882
43,42.9942,0.69714,0.57238,1.02682,0.93143,0.92095,0.95758,0.69831,0.97461,0.67562,1.1026,0.0011684,0.0011684,0.0011684
44,43.9791,0.6845,0.56736,1.00722,0.88842,0.94915,0.96653,0.73597,0.93064,0.60435,1.06829,0.0011486,0.0011486,0.0011486
45,44.9457,0.7297,0.60234,1.04123,0.92946,0.94915,0.97476,0.75508,0.87363,0.54242,1.02625,0.0011288,0.0011288,0.0011288
46,45.9236,0.73031,0.57282,1.04915,0.93347,0.98305,0.9778,0.73639,0.91122,0.56975,1.05122,0.001109,0.001109,0.001109
47,46.8922,0.66874,0.55058,0.98706,0.95253,0.9322,0.97889,0.74627,0.871,0.51883,1.04505,0.0010892,0.0010892,0.0010892
48,47.8748,0.69778,0.54889,1.01689,0.96235,0.94915,0.98687,0.77647,0.82684,0.5309,0.99817,0.0010694,0.0010694,0.0010694
49,48.8619,0.65997,0.54084,1.01976,0.96648,0.97735,0.99044,0.77147,0.83775,0.49136,1.02235,0.0010496,0.0010496,0.0010496
50,49.8486,0.69133,0.54777,1.00483,0.99536,0.98305,0.99394,0.76276,0.83487,0.46411,1.02286,0.0010298,0.0010298,0.0010298
51,50.8287,0.63624,0.50429,0.98009,0.99545,0.98305,0.99408,0.77141,0.81322,0.45344,1.01865,0.00101,0.00101,0.00101
52,51.8233,0.64722,0.518,0.99278,0.9644,0.98305,0.99262,0.78231,0.74325,0.45243,0.95501,0.0009902,0.0009902,0.0009902
53,52.8228,0.66233,0.51267,0.99997,1,0.94801,0.99242,0.80607,0.76352,0.45637,0.95677,0.0009704,0.0009704,0.0009704
54,53.8172,0.6595,0.5012,0.99696,0.96496,0.9322,0.97793,0.7704,0.83939,0.54634,1.00987,0.0009506,0.0009506,0.0009506
55,54.7893,0.61982,0.50271,1.00676,0.94712,0.9322,0.9611,0.73157,0.85995,0.55064,1.04647,0.0009308,0.0009308,0.0009308
56,55.7667,0.61452,0.49897,1.01892,0.94337,0.91525,0.96788,0.74484,0.80909,0.56553,1.00024,0.000911,0.000911,0.000911
57,56.7448,0.58755,0.46223,0.96668,0.93163,0.94915,0.97308,0.76836,0.81757,0.51668,1.00715,0.0008912,0.0008912,0.0008912
58,57.7212,0.63279,0.482,1.01317,0.96418,0.9322,0.95354,0.74608,0.82103,0.52995,1.03779,0.0008714,0.0008714,0.0008714
59,58.6852,0.59739,0.47622,0.98025,0.96607,0.96529,0.97192,0.77861,0.75829,0.46024,0.95944,0.0008516,0.0008516,0.0008516
60,59.6567,0.61534,0.46241,0.99258,0.96594,0.9615,0.98188,0.77128,0.77687,0.47205,0.95107,0.0008318,0.0008318,0.0008318
61,60.6232,0.61454,0.47244,0.97693,0.96542,0.9464,0.98646,0.77539,0.77162,0.5053,0.94341,0.000812,0.000812,0.000812
62,61.6041,0.6005,0.46763,0.98553,0.98139,0.894,0.977,0.76386,0.82272,0.54255,1.00536,0.0007922,0.0007922,0.0007922
63,62.579,0.62939,0.47336,0.99456,0.93641,0.9984,0.99062,0.77116,0.80398,0.47496,0.96722,0.0007724,0.0007724,0.0007724
64,63.5602,0.61559,0.46962,0.9763,0.96416,1,0.98845,0.80582,0.79831,0.41129,0.98755,0.0007526,0.0007526,0.0007526
65,64.5482,0.61542,0.46622,1.00004,0.96643,0.97605,0.98491,0.79079,0.80182,0.44451,1.00297,0.0007328,0.0007328,0.0007328
66,65.5648,0.54918,0.43397,0.96212,0.92055,1,0.98084,0.78945,0.77549,0.43556,0.9702,0.000713,0.000713,0.000713
67,66.5968,0.5932,0.45818,0.96762,0.95149,0.99727,0.98771,0.79511,0.77656,0.40691,0.97108,0.0006932,0.0006932,0.0006932
68,67.6012,0.57398,0.44458,0.9629,0.93639,0.99807,0.98744,0.7987,0.77977,0.42996,0.97004,0.0006734,0.0006734,0.0006734
69,68.5858,0.55546,0.4417,0.95216,0.93328,0.98305,0.98523,0.79658,0.78787,0.42413,0.97112,0.0006536,0.0006536,0.0006536
70,69.5913,0.53764,0.42627,0.95503,0.94978,0.98305,0.97976,0.79119,0.83291,0.46134,1.00069,0.0006338,0.0006338,0.0006338
71,70.5862,0.57007,0.41809,0.96762,0.94934,0.98305,0.98191,0.79162,0.89751,0.42014,1.04628,0.000614,0.000614,0.000614
72,71.5827,0.56056,0.42326,0.95874,0.9491,0.9661,0.97962,0.77831,0.87042,0.44845,1.04628,0.0005942,0.0005942,0.0005942
73,72.5652,0.55999,0.44421,0.95056,0.9331,0.9661,0.97937,0.78277,0.80274,0.48177,1.00123,0.0005744,0.0005744,0.0005744
74,73.5477,0.56499,0.43182,0.97448,0.9317,0.9661,0.97824,0.81194,0.75336,0.4771,0.96788,0.0005546,0.0005546,0.0005546
75,74.547,0.52113,0.40374,0.93386,0.9476,0.9661,0.975,0.79526,0.74854,0.47128,0.96951,0.0005348,0.0005348,0.0005348
76,75.5892,0.51629,0.39314,0.9409,0.93427,0.96363,0.96607,0.78389,0.76483,0.49114,0.98586,0.000515,0.000515,0.000515
77,76.6231,0.50456,0.39696,0.93507,0.94658,0.9322,0.96205,0.80034,0.77296,0.48798,0.99271,0.0004952,0.0004952,0.0004952
78,77.6224,0.54171,0.43531,0.94829,0.93173,0.94915,0.96093,0.7896,0.78683,0.49672,0.99944,0.0004754,0.0004754,0.0004754
79,78.6029,0.53779,0.40976,0.93373,0.93036,0.94915,0.96897,0.78622,0.78501,0.48352,0.98373,0.0004556,0.0004556,0.0004556
80,79.6034,0.50737,0.37092,0.9386,0.93432,0.9644,0.97062,0.78309,0.77139,0.45162,0.96013,0.0004358,0.0004358,0.0004358
81,80.6084,0.52578,0.40844,0.93204,0.93441,0.96584,0.97439,0.80616,0.75072,0.44497,0.9499,0.000416,0.000416,0.000416
82,81.5972,0.52004,0.39959,0.94035,0.93322,0.9661,0.9779,0.80985,0.76054,0.45603,0.96068,0.0003962,0.0003962,0.0003962
83,82.5823,0.47955,0.39139,0.92718,0.93441,0.96584,0.97857,0.80125,0.7651,0.45992,0.96122,0.0003764,0.0003764,0.0003764
84,83.5798,0.51696,0.3804,0.9308,0.96174,0.9322,0.97962,0.79685,0.7934,0.44505,0.97273,0.0003566,0.0003566,0.0003566
85,84.5813,0.50493,0.38767,0.94173,0.96419,0.9322,0.97941,0.80413,0.78139,0.44382,0.96873,0.0003368,0.0003368,0.0003368
86,85.5899,0.51343,0.38793,0.94308,0.96478,0.92851,0.97348,0.80679,0.76802,0.43222,0.9588,0.000317,0.000317,0.000317
87,86.575,0.49873,0.39211,0.92759,0.93307,0.94915,0.97274,0.80698,0.76811,0.43843,0.95654,0.0002972,0.0002972,0.0002972
88,87.5683,0.51008,0.37085,0.93732,0.91924,0.96469,0.9703,0.80066,0.77874,0.43703,0.96735,0.0002774,0.0002774,0.0002774
89,88.575,0.46114,0.35963,0.89986,0.91924,0.96458,0.97202,0.79824,0.78022,0.44007,0.96876,0.0002576,0.0002576,0.0002576
90,89.5642,0.46619,0.35828,0.92298,0.90554,0.97499,0.97754,0.80596,0.78696,0.44838,0.96721,0.0002378,0.0002378,0.0002378
91,91.1189,0.39402,0.35407,0.87218,0.90612,0.98152,0.97498,0.80406,0.80138,0.45193,0.97736,0.000218,0.000218,0.000218
92,92.1145,0.4149,0.30957,0.86263,0.9182,0.98305,0.97207,0.79849,0.81022,0.45993,0.98893,0.0001982,0.0001982,0.0001982
93,93.0935,0.39274,0.30097,0.85415,0.94714,0.94915,0.97153,0.79664,0.80941,0.46161,0.992,0.0001784,0.0001784,0.0001784
94,94.0688,0.38325,0.30348,0.86103,0.95062,0.97883,0.97268,0.79303,0.80433,0.45507,0.98366,0.0001586,0.0001586,0.0001586
95,95.0537,0.3842,0.28922,0.84885,0.95075,0.98165,0.98327,0.79472,0.79462,0.4408,0.97273,0.0001388,0.0001388,0.0001388
96,96.0622,0.38026,0.29028,0.85783,0.9335,1,0.98464,0.80121,0.77895,0.41083,0.95919,0.000119,0.000119,0.000119
97,97.0286,0.37283,0.28757,0.84889,0.93385,1,0.98582,0.80686,0.77352,0.40362,0.95596,9.92e-05,9.92e-05,9.92e-05
98,97.9927,0.37126,0.27656,0.85386,0.94903,0.98305,0.98645,0.8023,0.76964,0.41251,0.95768,7.94e-05,7.94e-05,7.94e-05
99,98.9503,0.357,0.27161,0.84665,0.90575,0.98305,0.97619,0.79971,0.76876,0.41424,0.95834,5.96e-05,5.96e-05,5.96e-05
100,99.9093,0.3795,0.28531,0.85117,0.9062,0.98246,0.97541,0.806,0.76777,0.41665,0.95824,3.98e-05,3.98e-05,3.98e-05
