epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,66.8664,0.95341,0.72091,0.01545,0.98485,0.94181,0.98914,0.75467,0.89361,0.38972,0.02165,0.0011882,0.0011882,0.0011882
43,68.3387,0.95847,0.76882,0.01618,0.98752,0.97101,0.99377,0.76639,0.91006,0.30278,0.02203,0.0011684,0.0011684,0.0011684
44,69.8103,0.94883,0.72552,0.01596,0.96468,0.98551,0.9926,0.77969,0.83573,0.28729,0.01979,0.0011486,0.0011486,0.0011486
45,71.2743,1.00889,0.77171,0.0173,0.96314,0.98551,0.99373,0.7833,0.83093,0.28616,0.02018,0.0011288,0.0011288,0.0011288
46,72.7635,0.90671,0.63187,0.01495,0.96192,0.95652,0.99067,0.78577,0.83768,0.30606,0.01946,0.001109,0.001109,0.001109
47,74.2425,0.97542,0.72508,0.01524,0.97695,0.95652,0.99195,0.76279,0.86156,0.2906,0.02122,0.0010892,0.0010892,0.0010892
48,75.6789,0.94222,0.67241,0.01577,0.96734,0.97101,0.99373,0.76271,0.86918,0.28166,0.02115,0.0010694,0.0010694,0.0010694
49,77.1526,0.93724,0.70575,0.01539,0.9814,0.97101,0.99283,0.75739,0.86471,0.28915,0.02085,0.0010496,0.0010496,0.0010496
50,78.602,0.92954,0.66928,0.01529,0.9198,0.99733,0.99063,0.75071,0.92098,0.31406,0.02211,0.0010298,0.0010298,0.0010298
51,80.0475,0.90602,0.64516,0.01423,0.9856,0.99166,0.99443,0.75681,0.87164,0.30306,0.02045,0.00101,0.00101,0.00101
52,81.524,0.88038,0.60297,0.01388,0.97057,0.95652,0.9909,0.76856,0.8651,0.29315,0.02016,0.0009902,0.0009902,0.0009902
53,83.1858,0.90666,0.68703,0.01524,0.96454,0.98551,0.99199,0.75053,0.89904,0.3117,0.0216,0.0009704,0.0009704,0.0009704
54,84.6446,0.90969,0.62509,0.0149,0.97068,0.95972,0.99274,0.76378,0.92919,0.29715,0.02199,0.0009506,0.0009506,0.0009506
55,86.1105,0.90476,0.60473,0.01481,0.94427,0.98224,0.99021,0.7779,0.83564,0.29199,0.01966,0.0009308,0.0009308,0.0009308
56,87.563,0.91608,0.64677,0.01523,0.9717,0.99528,0.99355,0.7613,0.872,0.28323,0.02109,0.000911,0.000911,0.000911
57,89.0416,0.90045,0.57027,0.01531,0.9812,0.95652,0.9924,0.75166,0.92732,0.30152,0.02187,0.0008912,0.0008912,0.0008912
58,90.4924,0.87555,0.60918,0.01414,0.9806,0.97101,0.99307,0.74721,0.92914,0.32498,0.02175,0.0008714,0.0008714,0.0008714
59,91.9413,0.83433,0.55351,0.01348,0.98211,1,0.995,0.75468,0.90891,0.29415,0.02069,0.0008516,0.0008516,0.0008516
60,93.3894,0.87533,0.60972,0.01406,0.99827,1,0.995,0.76212,0.90976,0.27969,0.02134,0.0008318,0.0008318,0.0008318
61,94.8461,0.87422,0.60742,0.0137,0.98425,0.98551,0.99418,0.76971,0.87405,0.28022,0.0203,0.000812,0.000812,0.000812
62,96.315,0.82682,0.52716,0.01335,1,0.9837,0.99472,0.76852,0.84678,0.25122,0.01963,0.0007922,0.0007922,0.0007922
63,97.7794,0.85898,0.61965,0.01451,0.99339,0.98551,0.99472,0.77628,0.84311,0.2608,0.02026,0.0007724,0.0007724,0.0007724
64,99.222,0.83667,0.56057,0.01323,0.96752,1,0.99241,0.76895,0.82518,0.26044,0.01947,0.0007526,0.0007526,0.0007526
65,100.687,0.83776,0.52039,0.01349,0.97166,0.99381,0.99444,0.76796,0.85617,0.272,0.02032,0.0007328,0.0007328,0.0007328
66,102.125,0.84819,0.5162,0.01395,1,0.99951,0.995,0.76584,0.88831,0.24929,0.02126,0.000713,0.000713,0.000713
67,103.567,0.85548,0.54409,0.01439,1,0.96922,0.99417,0.76804,0.8557,0.27327,0.02029,0.0006932,0.0006932,0.0006932
68,105.037,0.81137,0.48647,0.01319,0.97976,1,0.99429,0.75277,0.85629,0.25817,0.02038,0.0006734,0.0006734,0.0006734
69,106.477,0.82917,0.54769,0.01332,0.99692,0.95652,0.99345,0.75231,0.82952,0.26344,0.01924,0.0006536,0.0006536,0.0006536
70,107.94,0.83431,0.55565,0.01372,1,0.9804,0.99472,0.77445,0.81065,0.24057,0.01894,0.0006338,0.0006338,0.0006338
71,109.421,0.79414,0.49013,0.0119,0.968,0.98551,0.99297,0.77543,0.8128,0.26316,0.01863,0.000614,0.000614,0.000614
72,111.015,0.7878,0.59292,0.01247,0.99633,0.98551,0.99486,0.77119,0.82117,0.25505,0.0195,0.0005942,0.0005942,0.0005942
73,112.493,0.84528,0.52272,0.01367,0.98049,0.98551,0.99458,0.76805,0.81862,0.25139,0.01934,0.0005744,0.0005744,0.0005744
74,113.951,0.81065,0.51054,0.01296,1,0.99101,0.995,0.764,0.85148,0.26897,0.02012,0.0005546,0.0005546,0.0005546
75,115.421,0.79845,0.45402,0.01307,0.99514,0.98551,0.99472,0.76168,0.81674,0.25204,0.01883,0.0005348,0.0005348,0.0005348
76,116.907,0.80735,0.47442,0.01242,1,0.99122,0.995,0.76279,0.81968,0.24981,0.01873,0.000515,0.000515,0.000515
